Timestamp,Symbol,EntryPrice,ExitPrice,Change%,WallValue($),WallPower,Result
2025-12-23T22:08:35.143Z,BTC/USDT,87730.52,87742.18,0.0133,364966.86,8.13,PROFIT
2025-12-23T22:08:36.378Z,ETH/USDT,2977.44,2977.58,0.0047,109907.43,5.85,PROFIT
2025-12-23T22:08:43.304Z,AVAX/USDT,12.25,12.28,0.2449,102665.29,0.72,PROFIT
2025-12-23T22:08:46.559Z,BNB/USDT,845.51,845.65,0.0166,13702.34,6.38,PROFIT
2025-12-23T22:09:04.560Z,SOL/USDT,124.42,124.35,-0.0563,140471.80,2.41,LOSS
2025-12-23T22:09:08.081Z,PEPE/USDT,0.00000397,0.00000396,-0.2519,106160.38,0.66,LOSS
2025-12-23T22:09:18.155Z,TRX/ETH,0.00009502,0.00009522,0.2105,1.71,5.64,PROFIT
2025-12-23T22:09:35.195Z,AVAX/ETH,0.004119,0.004129,0.2428,2.33,5.14,PROFIT
2025-12-23T22:11:35.154Z,BTC/USDT,87742.18,87510.63,-0.2639,94593.09,9.94,LOSS
2025-12-23T22:11:36.464Z,ETH/USDT,2977.58,2962.51,-0.5061,127271.00,3.15,LOSS
2025-12-23T22:11:46.649Z,BNB/USDT,845.65,843.48,-0.2566,61704.54,8.90,LOSS
2025-12-23T22:11:55.897Z,AVAX/USDT,12.27,12.25,-0.1630,147696.69,1.06,LOSS
2025-12-23T22:12:08.199Z,PEPE/USDT,0.00000396,0.00000395,-0.2525,137280.56,0.87,LOSS
2025-12-23T22:12:18.376Z,SOL/USDT,124.36,123.96,-0.3216,162928.14,2.05,LOSS
2025-12-23T22:13:08.989Z,AVAX/ETH,0.004129,0.004138,0.2180,3.09,6.09,PROFIT
2025-12-23T22:13:48.051Z,TRX/XRP,0.1506,0.1506,0.0000,2348.14,5.48,LOSS
2025-12-23T22:14:18.544Z,NEAR/BNB,0.001766,0.001774,0.4530,3.99,8.78,PROFIT
2025-12-23T22:14:35.278Z,BTC/USDT,87510.63,87478.58,-0.0366,48108.97,9.58,LOSS
2025-12-23T22:14:36.474Z,ETH/USDT,2962.51,2960.77,-0.0587,17420.74,8.50,LOSS
2025-12-23T22:15:01.797Z,BNB/USDT,843.5,843.39,-0.0130,9452.26,7.61,LOSS
2025-12-23T22:15:08.876Z,PEPE/USDT,0.00000395,0.00000395,0.0000,106857.33,0.70,LOSS
